n_threads,2,10,20,30,50,80,100,150,200
1,5.114614963531494141e-01,7.170426845550537109e-01,8.768732547760009766e-01,1.148711442947387695e+00,3.096215724945068359e+00,2.838096857070922852e+00,3.689652681350708008e+00,5.203705072402954102e+00,7.931802749633789062e+00
2,4.943008422851562500e-01,6.338920593261718750e-01,8.732869625091552734e-01,1.115201711654663086e+00,2.103100776672363281e+00,2.835059881210327148e+00,3.707309484481811523e+00,5.240592718124389648e+00,8.128890514373779297e+00
3,4.946103096008300781e-01,6.447546482086181641e-01,8.622889518737792969e-01,1.108579635620117188e+00,2.186098814010620117e+00,2.883733034133911133e+00,3.693966150283813477e+00,5.328335523605346680e+00,7.958308458328247070e+00
4,4.990100860595703125e-01,6.305778026580810547e-01,8.794150352478027344e-01,1.111117124557495117e+00,2.099428176879882812e+00,2.885804176330566406e+00,3.763610363006591797e+00,5.208843469619750977e+00,7.923405647277832031e+00
5,4.958763122558593750e-01,6.108381748199462891e-01,8.804099559783935547e-01,1.109658479690551758e+00,2.087599277496337891e+00,2.822190046310424805e+00,3.659352779388427734e+00,5.232624530792236328e+00,7.922182321548461914e+00
6,4.911305904388427734e-01,6.249587535858154297e-01,8.773727416992187500e-01,1.110686302185058594e+00,2.086046457290649414e+00,2.810951232910156250e+00,3.724436521530151367e+00,5.234778404235839844e+00,7.992833852767944336e+00
7,4.944956302642822266e-01,6.236002445220947266e-01,8.850982189178466797e-01,1.102846145629882812e+00,2.087279558181762695e+00,2.820020675659179688e+00,3.661983489990234375e+00,5.479346990585327148e+00,8.019402265548706055e+00
8,5.080881118774414062e-01,6.230757236480712891e-01,8.897211551666259766e-01,1.107512474060058594e+00,2.132797002792358398e+00,2.783148050308227539e+00,3.767026662826538086e+00,5.188631534576416016e+00,7.970410585403442383e+00
9,5.070168972015380859e-01,6.248013973236083984e-01,8.888828754425048828e-01,1.115926265716552734e+00,2.089334964752197266e+00,2.822114944458007812e+00,3.699986457824707031e+00,5.225781917572021484e+00,8.162849664688110352e+00
10,5.040392875671386719e-01,6.518256664276123047e-01,8.611109256744384766e-01,1.104448556900024414e+00,2.144298791885375977e+00,2.830923318862915039e+00,3.684583425521850586e+00,5.302298069000244141e+00,8.146919488906860352e+00
